name,ingredients
old flame,"dry gin, italian red bitter liqueur, orange juice, sweet vermouth, triple sec"
padovani,"st-germain elderflower liqueur, whisky"
panachee,"absinthe, anisette liqueur, chilled water"
parisian martini,"martini extra dry vermouth, st-germain elderflower liqueur, vodka"
parisian sidecar,"cognac, lemon juice, st-germain elderflower liqueur"
pear martini,"martini extra dry vermouth, pear flavoured vodka, st-germain elderflower liqueur"
pear tree cocktail,"brut champagne, pear flavoured vodka, st-germain elderflower liqueur"
pegu club cocktail (difford's recipe),"angostura aromatic bitters, chilled water, dry gin, lime cordial, lime juice, orange bitters, orange curacao liqueur, sugar syrup"
peppermint vanilla daiquiri,"creme de menthe, galliano l'autentico liqueur, light rum, lime juice, sugar syrup"
periscope,"dry gin, lemon juice, lime juice, pasteurised egg white, st-germain elderflower liqueur"
peruvian elder sour,"barsol mosto verde italia pisco, chilled water, lime juice, st-germain elderflower liqueur"
peter pan cocktail,"creme de peche de vigne liqueur, dry gin, martini extra dry vermouth, orange juice, peach bitters"
peto martini,"dry gin, luxardo maraschino liqueur, martini extra dry vermouth, orange juice, sweet vermouth"
the [pick of] destiny,"orange bitters, orange juice, st-germain elderflower liqueur, straight rye whiskey"
pina colada cocktail (cuban style),"lime juice, pineapple juice, rum, sugar syrup"
pink squirrel,"creme de noyau liqueur, dutch cacao white creme de cacao, single cream / half-and-half"
pomme et sureau,"avallen calvados, soda water, st-germain elderflower liqueur"
prado,"lime juice, luxardo maraschino liqueur, pasteurised egg white, tequila"
the puritan,"chilled water, dry gin, martini extra dry vermouth, orange bitters, yellow chartreuse liqueur"
queen's park swizzle,"angostura aromatic bitters, demerara / dark muscovado sugar syrup, lime juice, mint leaves, rum"
rizzo,"avallen calvados, dry gin, grapefruit juice, grenadine syrup, lime juice, passion fruit syrup"
rousing charlie,"barsol mosto verde italia pisco, fino sherry, lychee syrup, sake, st-germain elderflower liqueur"
elderflower spritz,"sauvignon blanc wine, soda water, st-germain elderflower liqueur"
salflower sour,"lime juice, orange bitters, orange juice, pasteurised egg white, st-germain elderflower liqueur"
sauco margarita,"difford's daiquiri bitters, lime juice, st-germain elderflower liqueur, tequila"
scorched earth,"cognac, cynar or other carciofo amaro, sweet vermouth"
screaming orgasm,"coffee liqueur, disaronno amaretto, irish cream liqueur, milk, single cream / half-and-half, vodka"
serendipity (by colin field),"apple juice, avallen calvados, brut champagne, mint leaves, sugar syrup"
sidecarriage,"avallen calvados, chilled water, lemon juice, st-germain elderflower liqueur, sugar syrup, triple sec"
silk panties,"peach bitters, peachtree peach schnapps, vodka"
s. tea g.,"black tea, dry gin, st-germain elderflower liqueur, tonic water"
the bird is the word no.2,"bepi tosolini grappa di moscato, bob's chocolate bitters, chilled water, green chartreuse liqueur, lime juice, luxardo maraschino liqueur"
strawberry & balsamic cocktail,"balsamic vinegar of modena, small ripe strawberries, sugar syrup, vodka"
teresa,"italian red bitter liqueur, lime juice, noir de bourgogne cassis"
tonga,"cognac, grenadine syrup, lemon juice, light rum, lime juice, orange juice, rum, sugar syrup"
trifle cocktail,"drambuie liqueur, framboise de ronce, raspberry flavoured vodka"
trilby #2,"martini extra dry vermouth, peychaud's or other creole-style bitters, triple sec, whisky"
valentino,"dry gin, italian red bitter liqueur, sweet vermouth"
vancouver,"benedictine d.o.m., dry gin, martini extra dry vermouth, orange bitters, sweet vermouth"
wah-wah,"angostura aromatic bitters, barsol mosto verde italia pisco, bittersweet orange-red aperitivo, grapefruit juice, st-germain elderflower liqueur"
wash house,"basil leaves, chilled water, lime juice, sugar syrup, vodka"
waters of chaos,"chilled water, green chartreuse liqueur, lime juice, old simon genever, sugar syrup, white overproof rum"
whisky cobbler,"creme de peche de vigne liqueur, orange curacao liqueur, pineapple liqueur, whisky"
wisecrack fizz,"barsol mosto verde italia pisco, grapefruit juice, lemon juice, soda water, st-germain elderflower liqueur"
act of violets,"angostura aromatic bitters, creme de violette liqueur, dry gin, lemon juice, martini extra dry vermouth, pasteurised egg white"
the amalfi,"light rum, luxardo maraschino liqueur, martini extra dry vermouth, pallini limoncello liqueur, pasteurised egg white"
apple fool,"basil leaves, grapefruit juice, green chartreuse liqueur, lime juice, sugar syrup, tequila"
apple martini (with apple schnapps),"apple juice, apple schnapps liqueur, vodka"
bbc (by marian beke),"becherovka liqueur, rum, wormwood bitters"
benton's old fashioned,"angostura aromatic bitters, bourbon whiskey, maple syrup"
berlin sour,"lemon juice, luxardo maraschino liqueur, mentzendorff kummel liqueur, sugar syrup"
the bird is the word no.1,"apricot brandy liqueur, lemon juice, tequila, yellow chartreuse liqueur"
bitter and twisted nail,"drambuie liqueur, italian red bitter liqueur, whisky"
black nail #1,"drambuie liqueur, honey flavoured vodka, whisky, whisky"
black tie,"black strap molasses, light rum, lime juice, orgeat syrup, rum, sugar syrup, triple sec"
brazilian nail,"cachaca, drambuie liqueur, whisky"
breakfast gimlet,"dry gin, lemon juice, lime cordial, orange marmalade"
brooklyn cocktail,"amer picon, chilled water, luxardo maraschino liqueur, martini extra dry vermouth, straight rye whiskey"
bushwick,"amer picon, luxardo maraschino liqueur, straight rye whiskey, sweet vermouth"
cajun nail,"absinthe, angostura aromatic bitters, daddy rack tennessee whiskey, drambuie liqueur, peychaud's or other creole-style bitters"
carroll gardens,"luxardo maraschino liqueur, nardini amaro, punt e mes or other full-bodied vermouth, straight rye whiskey"
carthusian nail,"drambuie liqueur, green chartreuse liqueur, whisky"
chanticleer cocktail,"dry gin, martini extra dry vermouth, orange curacao liqueur, pasteurised egg white"
charlie,"angostura aromatic bitters, bourbon whiskey, framboise de ronce, sweet vermouth"
cobble hill,"cucumber, martini extra dry vermouth, montenegro amaro, straight rye whiskey"
cuban liberal,"amer picon, orange bitters, rum, sweet vermouth"
culross cocktail,"apricot brandy liqueur, lemon juice, light rum, lillet blanc"
debonair,"ginger liqueur, speyside single malt scotch whisky"
defender cocktail,"creme yvette liqueur, orange bitters, portobello old tom gin, sweet vermouth"
dreamy dorini smoking martini,"pernod anise, vodka, whisky"
fernando,"fernet liqueur, galliano l'autentico liqueur, martini extra dry vermouth, sweet vermouth"
fibber mcgee,"angostura aromatic bitters, dry gin, grapefruit juice, sweet vermouth"
four aces,"basil leaves, ginger liqueur, green grapes, lime juice, sugar syrup, vodka"
g. g and g,"dry gin, galliano l'autentico liqueur, grapefruit juice, orange bitters"
ginger frost,"ginger liqueur, lemon juice, orange juice, pasteurised egg white, sugar syrup, vodka"
greyhound's tooth,"benedictine d.o.m., bob's grapefruit bitters, grapefruit juice, lemon juice, vodka"
gypsy queen,"angostura aromatic bitters, benedictine d.o.m., vodka"
the hac,"agave syrup, green cardamom pods, lime juice, orange bitters, pineapple juice, tequila"
harold and maude,"lavender sugar syrup, lemon juice, rose sugar syrup, rum, whisky"
highland sazerac,"angostura aromatic bitters, cognac, green chartreuse liqueur, peychaud's or other creole-style bitters, speyside single malt scotch whisky, sugar syrup"
hot tommy,"agave syrup, boiling water, lime juice, tequila"
clover club (house-made),"dry gin, lemon juice, martini extra dry vermouth, pasteurised egg white, raspberry jam"
islander,"pernod anise, sweet vermouth, whisky"
ivo,"angostura aromatic bitters, bourbon whiskey, framboise de ronce, martini extra dry vermouth, sweet vermouth"
japanese maple,"japanese blended whisky, lemon juice, maple syrup, pasteurised egg white"
mr kappes,"kirschwasser eau-de-vie, lillet blanc, pedro ximenez sherry"
lady's sidecar,"cognac, lemon juice, orange juice, sugar syrup, triple sec"
lazy man flip,"avallen calvados, egg yolk, ruby port, sugar syrup"
limey gimlet,"dry gin, light rum, lime cordial, lime juice"
limon fresca,"citroen vodka, lemon juice, lime juice, mint leaves, orange juice, pallini limoncello liqueur"
lincoln club cooler,"angostura aromatic bitters, ginger ale, rum"
little italy,"cynar or other carciofo amaro, straight rye whiskey, sweet vermouth"
manicure,"avallen calvados, drambuie liqueur, whisky"
mexican nail,"bob's chocolate bitters, chilled water, drambuie liqueur, tequila, whisky"
mock margarita (non-alcoholic),"agave syrup, ginger ale, lemon juice, lime juice"
the money penny,"bob's grapefruit bitters, dry gin, grapefruit juice, martini extra dry vermouth, sugar syrup"
mr president,"italian red bitter liqueur, light rum, sweet vermouth"
nailed,"drambuie liqueur, whisky"
negroni tredici,"cynar or other carciofo amaro, dry gin, italian red bitter liqueur, sweet vermouth"
new amsterdam,"kirschwasser eau-de-vie, old simon genever, peychaud's or other creole-style bitters, sugar syrup"
nick & nora,"dry gin, martini extra dry vermouth"
novara,"dry gin, italian red bitter liqueur, lemon juice, passion fruit syrup"
orange negroni,"italian red bitter liqueur, oranje vodka, sweet vermouth"
oranjey cocktail,"italian red bitter liqueur, orange juice, oranje vodka, sweet vermouth, triple sec, vodka"
perpetual cocktail,"bob's chocolate bitters, brown creme de cacao, creme yvette liqueur, martini extra dry vermouth, sweet vermouth"
petruchio cocktail,"bittersweet orange-red aperitivo, dry gin, lemon juice, orange bitters, pasteurised egg white, sugar syrup"
precursory cocktail,"angostura aromatic bitters, antica formula or other well aged sweet vermouth, lemon juice, orange bitters, sugar syrup, tawny port"
ragtime,"absinthe, bittersweet orange-red aperitivo, peychaud's or other creole-style bitters, ramazzotti amaro, straight rye whiskey"
rhode island red,"agave syrup, framboise de ronce, ginger beer, lemon juice, orange bitters, tequila"
rock 'n' rye,"lemon juice, orange juice, straight rye whiskey, sugar syrup, syrup from luxardo maraschino cherries"
rococoa,"bob's chocolate bitters, chilled water, dutch cacao white creme de cacao, light rum, whisky"
roosevelt cocktail,"martini extra dry vermouth, orange juice, rum, sugar syrup"
royal nail,"drambuie liqueur, highland single malt scotch whisky, peychaud's or other creole-style bitters"
ruby daiquiri,"disaronno amaretto, grapefruit juice, light rum, lime juice, orgeat syrup"
rude gypsy,"benedictine d.o.m., difford's margarita bitters, patron silver blanco tequila"
rum old fashioned,"angostura aromatic bitters, difford's falernum liqueur, rum, sugar syrup, white overproof rum"
russian nail,"coffee liqueur, drambuie liqueur, milk, single cream / half-and-half, whisky"
rusty tack cocktail,"drambuie liqueur, ginger liqueur, whisky"
scotch sour,"lemon juice, pasteurised egg white, sugar syrup, whisky"
scottish breakfast,"avallen calvados, maple syrup, single cream / half-and-half, sugar syrup, whisky"
si-mao,"banana liqueur, daddy rack tennessee whiskey, lemon juice, orange juice"
a sinking cocktail,"bittersweet orange-red aperitivo, cherry heering cherry brandy liqueur, sauvignon blanc wine, st-germain elderflower liqueur"
sketcher's pet,"apricot brandy liqueur, orange juice, passion fruit syrup, single cream / half-and-half, vodka"
the slope,"angostura aromatic bitters, apricot brandy liqueur, punt e mes or other full-bodied vermouth, straight rye whiskey"
smoke and mirrors no.2,"angostura aromatic bitters, apricot brandy liqueur, averna amaro, whisky"
smoked maple,"apricot brandy liqueur, maple syrup, orange juice, whisky"
scottish gypsy,"angostura aromatic bitters, benedictine d.o.m., whisky"
smokestack lightning,"agave syrup, difford's margarita bitters, lime juice, tequila, whisky"
starry night,"chardonnay white wine, luxardo maraschino liqueur, poire william eau-de-vie"
stratosphere,"brut champagne, creme de violette liqueur"
sweetie pie,"angostura aromatic bitters, apple juice, pimento dram liqueur, rum, salt"
summit,"cognac, lemon-lime soda, lime, root ginger"
tabula rasa,"antica formula or other well aged sweet vermouth, italian red bitter liqueur, mozart chocolate vodka"
tanglefoot,"lemon juice, light rum, orange juice, swedish punsch liqueur"
tapered nail,"drambuie liqueur, rum, whisky"
too ache sidecar,"cognac, lemon juice, tuaca liqueur"
unicar,"cognac, lemon juice, sugar syrup"
velvet elvis,"daddy rack tennessee whiskey, framboise de ronce, lemon-lime soda, lime juice"
velvet threesome,"avallen calvados, barsol mosto verde italia pisco, chilled water, cognac, licor 43 original liqueur, martini extra dry vermouth"
waterloo sunset,"brut champagne, dry gin, framboise de ronce, st-germain elderflower liqueur"
white tigers,"angostura aromatic bitters, avallen calvados, licor 43 original liqueur, pasteurised egg white"
absinthe martini,"absinthe, dry gin, martini extra dry vermouth"
applejack rabbit,"applejack brandy bottled-in-bond, lemon juice, maple syrup, orange juice"
bohemian martini,"dry gin, martini extra dry vermouth"
buckeye,"dry gin, martini extra dry vermouth"
cablegram,"ginger sugar syrup, lime juice, soda water, straight rye whiskey"
le dijonnais martini,"celery bitters, dry gin, galander fine mustard liqueur, martini extra dry vermouth"
fiendtini,"chilled water, dry gin, martini extra dry vermouth"
hollywood,"grapefruit juice, grenadine syrup, light rum, pasteurised egg white"
improved holland gin cocktail,"absinthe, angostura aromatic bitters, luxardo maraschino liqueur, old simon genever, sugar syrup"
king's jubilee,"lemon juice, light rum, luxardo maraschino liqueur"
mantini,"british bitter ale, dry gin"
melba cocktail,"absinthe, grenadine syrup, light rum, lime juice, swedish punsch liqueur"
porn star martini,"brut champagne, lime juice, passion fruit, passoa liqueur, vanilia vodka, vanilla sugar syrup"
